review_id,review_date,customer_id,product_id,product_category,item_name,size_purchased,color_purchased,rating,review_title,review_text,image_path,fit_feedback,sentiment
1,2025-05-15,CUST001,PROD101,Dresses,Women's Summer Floral Maxi Dress,M,Blue Floral,5,Absolutely beautiful!,"The dress is even more beautiful in person! The fabric is light and airy, perfect for summer. It fits true to size and the colors are vibrant. Received so many compliments!",womens_dress_1.jpg,true to size,positive
2,2025-05-16,CUST002,PROD205,T-Shirts,Men's Classic Cotton T-Shirt,L,Black,2,Disappointed with quality,"The material felt very thin and cheap after the first wash. Also, it shrunk a bit. Not what I expected for the price.",,true to size,negative
3,2025-05-16,CUST003,PROD310,Jeans,Women's Skinny Fit Jeans,28,Dark Wash,3,"Okay, but sizing is off","The jeans look nice and the denim quality is decent. However, they run very small. I usually wear a 28 but these felt more like a 26. Had to return.",jeans_fit_1.png,too small,negative
4,2025-05-17,CUST004,PROD206,T-Shirts,Men's Graphic Print Tee,XL,White,5,Great design and fit!,"Love the graphic on this tee! The XL fits me perfectly, not too tight and not too baggy. Cotton is soft. Delivery was quick too.",graphic_tee_good.jpg,true to size,positive
5,2025-04-20,CUST005,PROD401,Outerwear,Unisex Lightweight Windbreaker,S,Navy,4,Good for the price,"It's a decent windbreaker for casual use. Repels light rain. The Small is a bit snug if I wear a sweater underneath, but otherwise fine.",,slightly small,positive
6,2025-04-22,CUST006,PROD102,Dresses,Women's Elegant Evening Gown,12,Red,1,Color totally different!,"The dress I received is a dull maroon, not the vibrant red shown online. Very misleading! The fit was also awkward around the shoulders. Returning this immediately.",dress_color_bad.png,awkward fit,negative
7,2025-04-25,CUST007,PROD501,Shoes,Men's Leather Loafers,UK9,Brown,5,Excellent quality and comfort,"These loafers are fantastic. The leather is high quality, and they were comfortable right out of the box. True to size. Worth every penny.",,true to size,positive
8,2025-04-28,CUST008,PROD601,Accessories,Silk Scarf,One Size,Patterned,4,"Lovely scarf, a bit delicate","The scarf has a beautiful pattern and the silk feels luxurious. It's a bit more delicate than I anticipated, so I have to be careful with it.",,N/A,positive
9,2025-05-01,CUST009,PROD311,Jeans,Men's Relaxed Fit Jeans,34,Light Blue,2,"Poor stitching, hole appeared",Wore these jeans twice and a hole appeared near the back pocket due to poor stitching. Really unhappy with the craftsmanship.,jean_defect_1.jpg,true to size,negative
10,2025-05-02,CUST010,PROD103,Skirts,Women's Pleated Midi Skirt,M,Green,5,Perfect skirt!,"I'm in love with this skirt! The pleats are lovely, the color is exactly as pictured, and the medium fits perfectly. Great for work or casual outings.",,true to size,positive
11,2025-05-03,CUST011,PROD207,Shirts,Men's Linen Long-Sleeve Shirt,L,Beige,3,Fabric wrinkles too easily,"The shirt looks nice and is breathable, but the linen fabric wrinkles incredibly easily. Needs constant ironing which is a hassle.",,true to size,neutral
12,2025-05-05,CUST012,PROD402,Outerwear,Women's Quilted Puffer Jacket,S,Black,5,Warm and stylish,This jacket is surprisingly warm for how lightweight it is. The fit is flattering and I love the matte black finish. Pockets are a good size too.,puffer_jacket_style.jpg,true to size,positive
13,2025-05-06,CUST013,PROD502,Shoes,Women's Ankle Boots,UK6,Black,4,Comfortable but scuffs easily,"These boots are very comfortable for walking, but the material scuffs more easily than I'd like. Otherwise, a great stylish boot.",,true to size,positive
14,2025-05-08,CUST014,PROD101,Dresses,Women's Summer Floral Maxi Dress,L,Blue Floral,1,Arrived damaged,My dress arrived with a noticeable tear along the seam. Packaging was also crushed. Very disappointed with the handling.,womens_dress_1.jpg,N/A,negative
15,2025-05-10,CUST015,PROD602,Accessories,Leather Belt,32,Brown,5,Great quality belt,"Simple, classic leather belt. The quality is excellent and the sizing is accurate. Smells like real leather. Happy with this purchase.",,true to size,positive
16,2025-05-12,CUST016,PROD208,Knitwear,Men's Wool Blend Sweater,M,Grey,4,"Soft and warm, good for layering","The sweater is very soft and provides good warmth. It's not too bulky, so it's great for layering. Fit is as expected.",,true to size,positive
17,2025-05-14,CUST017,PROD312,Pants,Women's Wide-Leg Trousers,10,Cream,3,A bit see-through,"The style of these trousers is nice and they are comfortable. However, the cream color is a bit see-through, requiring specific undergarments.",,true to size,neutral
18,2025-05-18,CUST018,PROD503,Shoes,Kid's Light-Up Sneakers,US2,Pink,5,My daughter loves them!,These sneakers are a huge hit! The lights are bright and she says they're super comfortable. Seem durable so far.,kids_shoes_1.jpg,true to size,positive
19,2025-05-20,CUST019,PROD205,T-Shirts,Men's Classic Cotton T-Shirt,S,White,1,Wrong item sent!,I ordered a white t-shirt and received a blue one with a completely different design. Customer service was slow to respond.,,N/A,negative
20,2025-05-22,CUST020,PROD104,Blouses,Women's Silk Tie-Neck Blouse,XS,Ivory,2,"Looks cheap, not like silk","The material does not feel or look like genuine silk, more like a cheap polyester. The fit is also boxy. Not worth the premium price.",,too large,negative
